image_url,diseases_name,website_link,search_letter
https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Eyelash loss images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,E
https://dermnetnz.org/assets/Uploads/eyelid-dermatitis-06-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Eyelid dermatitis images,https://dermnetnz.org/topics/eyelid-dermatitis-images/?stage=Live,E
https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Fabry disease images,https://dermnetnz.org/topics/angiokeratoma-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/Screen-Shot-2018-01-25-at-8__FocusFillWzE1MCwxMTAsIngiLDFd.28.37-PM.png,Facial acne images,https://dermnetnz.org/topics/acne-face-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/facial-psoriasis13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Facial psoriasis images,https://dermnetnz.org/topics/facial-psoriasis-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/birt-hogg-dube-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Fibrofolliculomas in Birt–Hogg–Dubé images,https://dermnetnz.org/topics/fibrofolliculomas-in-birthoggdube-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,Fifth disease images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/m-marinum-2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Fishtank granuloma images,https://dermnetnz.org/topics/atypical-mycobacterial-infection-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/psorkai3__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Flexural psoriasis images,https://dermnetnz.org/topics/flexural-psoriasis-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/2650__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Folliculitis images,https://dermnetnz.org/topics/folliculitis-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/3720__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Folliculitis keloidalis images,https://dermnetnz.org/topics/folliculitis-keloidalis-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Fordyce angiokeratoma images,https://dermnetnz.org/topics/angiokeratoma-images/?stage=Live,F
https://dermnetnz.org/assets/Uploads/tinea-barbae001-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Fungal skin infection images,https://dermnetnz.org/image-catalogue/fungal-skin-infection-images/?stage=Live,F
